"","name","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"3632","Stephen Curry","Golden State Warriors","2/1/17",2016,1,10,22,"shot_yes","Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-204,154,2
"3633","Stephen Curry","Golden State Warriors","2/1/17",2016,1,11,38,"shot_yes","Jump Shot","3PT Field Goal",26,"Charlotte Hornets",-196,183,1
"3634","Stephen Curry","Golden State Warriors","2/1/17",2016,1,1,4,"shot_no","Jump Shot","3PT Field Goal",26,"Charlotte Hornets",112,237,11
"3635","Stephen Curry","Golden State Warriors","2/1/17",2016,1,6,47,"shot_yes","Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-210,151,6
"3636","Stephen Curry","Golden State Warriors","2/1/17",2016,1,3,25,"shot_no","Jump Shot","3PT Field Goal",27,"Charlotte Hornets",127,244,9
"3637","Stephen Curry","Golden State Warriors","2/1/17",2016,3,8,36,"shot_no","Jump Shot","3PT Field Goal",26,"Charlotte Hornets",138,228,28
"3638","Stephen Curry","Golden State Warriors","2/1/17",2016,3,4,58,"shot_no","Jump Shot","3PT Field Goal",24,"Charlotte Hornets",204,144,32
"3639","Stephen Curry","Golden State Warriors","2/1/17",2016,3,9,8,"shot_no","Jump Shot","2PT Field Goal",20,"Charlotte Hornets",-204,-5,27
"3640","Stephen Curry","Golden State Warriors","2/1/17",2016,1,1,27,"shot_yes","Jump Shot","3PT Field Goal",25,"Charlotte Hornets",-196,169,11
"3641","Stephen Curry","Golden State Warriors","3/5/17",2016,1,5,23,"shot_yes","Jump Shot","2PT Field Goal",15,"New York Knicks",-127,90,7
"3642","Stephen Curry","Golden State Warriors","12/13/16",2016,4,0,47,"shot_no","Jump Shot","2PT Field Goal",20,"New Orleans Pelicans",-178,105,48
"3643","Stephen Curry","Golden State Warriors","12/13/16",2016,3,6,19,"shot_yes","Jump Shot","2PT Field Goal",22,"New Orleans Pelicans",146,169,30
"3644","Stephen Curry","Golden State Warriors","1/18/17",2016,1,3,48,"shot_no","Jump Shot","3PT Field Goal",26,"Oklahoma City Thunder",-138,232,9
"3645","Stephen Curry","Golden State Warriors","1/18/17",2016,2,0,0,"shot_no","Jump Shot","3PT Field Goal",52,"Oklahoma City Thunder",-19,522,24
"3646","Stephen Curry","Golden State Warriors","1/18/17",2016,1,8,28,"shot_yes","Jump Shot","3PT Field Goal",29,"Oklahoma City Thunder",-6,291,4
